企業完整名稱,編號,統一編號,產業類別,所有權,股票代碼,加權總分,加權總分PR,經濟PR,環境PR,社會PR,股票類型
友達光電股份有限公司,5,84149738,光電業,上市,2409,136.368,100,96,100,91,投資型股票
聯華電子股份有限公司,65,47217677,半導體,上市,2303,101.592,99,100,99,91,穩健型股票
中國鋼鐵股份有限公司,90,30414175,鋼鐵工業,上市,2002,78.288,96,99,99,81,穩健型股票
中華映管股份有限公司,184,11085292,光電業,上市,2475,78.016,95,99,99,54,穩健型股票
日月光半導體製造股份有限公司,102,76027628,半導體,上市,2311,71.36,94,96,99,91,穩健型股票
光寶科技股份有限公司,84,23357403,電腦及週邊,上市,2301,97.888,99,85,99,81,穩健型股票
中聯資源股份有限公司,96,86119908,其他,上市,9930,63.752,91,85,99,91,穩健型股票
中華航空股份有限公司,69,11145904,航運業,上市,2610,77.896,95,96,97,54,穩健型股票
欣興電子股份有限公司,76,23535435,電子零組件,上市,3037,63.768,91,96,97,71,積極型股票
群聯電子股份有限公司,88,12649951,電腦及週邊,上櫃,8299,51.728,75,96,97,87,穩健型股票
康舒科技股份有限公司,240,12341051,電子零組件,上市,6282,69.696,93,93,97,54,投資型股票
佳世達科技股份有限公司,224,12490306,電腦及週邊,上市,2352,102.368,100,85,97,81,穩健型股票
英業達股份有限公司,222,04322046,電腦及週邊,上市,2356,80.312,96,76,97,62,積極型股票
裕隆汽車製造股份有限公司,212,03489200,汽車工業,上市,2201,54.584,79,65,97,71,穩健型股票
正隆股份有限公司,18,33085508,造紙工業,上市,1904,44.208,65,30,97,96,穩健型股票
南?樹脂化學工廠股份有限公司,442,74229304,化學工業,未上市櫃,N/A,58.984,86,96,95,98,#N/A
台灣積體電路製造股份有限公司,114,22099131,半導體,上市,2330,96.776,99,85,95,62,投資型股票
台達電子工業股份有限公司,121,34051920,電子零組件,上市,2308,87.384,98,85,95,91,穩健型股票
亞洲水泥股份有限公司,35,03244509,水泥工業,上市,1102,86.272,98,85,95,54,穩健型股票
中強光電股份有限公司,271,22099907,光電業,上櫃,5371,66.176,92,76,95,100,投資型股票
環旭電子股份有限公司,416,28990714,電子零組件,外商,601231,65.072,91,76,95,91,#N/A
黑松股份有限公司,97,20651901,食品工業,上市,1234,55.72,81,76,95,87,投資型股票
璨揚企業股份有限公司,296,69702104,汽車工業,未上市櫃,N/A,43.424,63,76,95,71,#N/A
台灣電力股份有限公司,115,03795904,其他,未上市櫃,9963,55.208,80,65,95,23,#N/A
矽品精密工業股份有限公司,108,55991080,半導體,上市,2325,63.208,90,53,95,96,穩健型股票
仁寶電腦工業股份有限公司,60,21222725,電腦及週邊,上市,2324,58.6,86,96,92,71,投資型股票
台灣糖業股份有限公司,267,03794905,食品工業,未上市櫃,1237,103.368,100,93,92,91,#N/A
群創光電股份有限公司,237,12800225,光電業,上市,3481,96.208,98,93,92,54,投資型股票
緯創資通股份有限公司,299,12868358,電腦及週邊,上市,3231,60.784,89,85,92,62,穩健型股票
中鼎工程股份有限公司,64,20817282,其他,上市,9933,76.76,95,76,92,81,穩健型股票
宏碁股份有限公司,209,20828393,電腦及週邊,上市,2353,63.424,90,76,92,15,穩健型股票
啟碁科技股份有限公司,285,97331723,通信網路業,上市,6285,55.632,80,76,92,33,積極型股票
研華股份有限公司,356,05155853,電腦及週邊,上市,2395,78.624,96,65,92,91,積極型股票
中國鋼鐵結構股份有限公司,55,85800192,鋼鐵工業,上市,2013,38.56,53,65,92,54,投資型股票
聯成化學科技股份有限公司,202,04748660,塑膠工業,上市,1313,48.584,70,53,92,43,穩健型股票
中龍鋼鐵股份有限公司,307,84613756,鋼鐵工業,未上市櫃,2048,60.784,89,41,92,91,#N/A
南茂科技股份有限公司,290,16130042,半導體,上市,8150,47.768,69,41,92,6,穩健型股票
定穎電子股份有限公司,340,22993144,電子零組件,上市,6251,71.632,94,99,88,43,穩健型股票
長榮航空股份有限公司,253,23225229,航運業,上市,2618,67.528,93,99,88,71,穩健型股票
南亞塑膠工業股份有限公司,161,75370905,塑膠工業,上市,1303,65.36,92,96,88,87,投資型股票
信邦電子股份有限公司,352,23542766,電子零組件,上市,3023,48.096,69,93,88,81,投資型股票
和碩聯合科技股份有限公司,195,28689155,電腦及週邊,上市,4938,57.176,84,85,88,81,穩健型股票
世界先進積體電路股份有限公司,181,84149358,半導體,上櫃,5347,44.088,65,85,88,62,穩健型股票
瀚宇彩晶股份有限公司,150,16450500,光電業,上市,6116,42.56,61,76,88,87,投資型股票
無敵科技股份有限公司,170,23163259,其他電子業,上市,8201,24,19,76,88,3,積極型股票
蓋曼立凱電能科技(股)公司,98,27714536,電子零組件,上櫃,5227,65.832,92,65,88,81,積極型股票
寶成工業股份有限公司,146,58711014,其他,上市,9904,60.616,88,65,88,98,穩健型股票
台橡股份有限公司,218,03553737,橡膠工業,上市,2103,57.752,85,65,88,91,積極型股票
華碩電腦股份有限公司,71,23638777,電腦及週邊,上市,2357,56.92,83,65,88,62,投資型股票
