年分,標號,月標號,月份,2015,2014,企業完整名稱,統一編號,產業類別,所有權,股票代碼,所屬國家,地區,地址,聯絡信箱,聯絡電話,CSR網址,CSR報告網址,CSR社群媒體,報告書名稱,報告書類別,負責單位,出版次數,頁數,資訊揭露期間,上一次報告的出版年份?yyyy?,"報告週期?1, 2, 3, 4, 5?",報告框架,GRI行業補充指南,驗證單位,依循選項,保證標準,保證等級,"是否有指標對照表?0, 1, NA?",國家數量?#?,據點數量?#?, 男性總人數?#? , 女性總人數?#? ,工會,基金會,基金會_1,強制,編製狀態,食品相關產業
2016,1,1,9,1,1,遠東國際商業銀行股份有限公司,86517096,金融業,上市,2845,台灣,台北,"台北市敦化南路二段207號26 ,27樓",cr@feib.com.tw,223765614,https://www.feib.com.tw/csr/csr.aspx,https://www.feib.com.tw/csr/csr.aspx,0,大道之行 2015年企業社會責任報告書,企業社會責任報告,企業社會責任單位,2,97,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,BSI,Core(核心）,AA1000,標示不清楚,1,2,57,"1,056","1,642",0,0,0,金融,強制,0
2016,2,2,9,1,0,群益金鼎證券股份有限公司,22956035,金融業,上市,6005,台灣,台北,台北市松仁路101號4樓,TONY_TAN@CAPITAL.COM.TW,02-2702-39993,https://www.capital.com.tw/Capitalgroup/PR/activities.asp?xy=11&xt=11,https://www.capital.com.tw,0,企業社會責任報告書,企業社會責任報告,未註明負責單位,2,50,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,3,19,773,"1,502",0,0,0,金融,強制,0
2016,3,3,9,1,1,李長榮化學工業股份有限公司,39054405,化學工業,上市,1704,台灣,高雄,高雄市小港區中林路3號,lcy@lcygroup.com,?(02)2764-5749,http://www.lcygroup.com/lcygroup/tc/csr.asp,http://www.lcygroup.com/lcygroup/download/2015_CSR_tc.pdf,0,李長榮化學工業股份有限公司企業社會責任報告,企業社會責任報告,未註明負責單位,4,93,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,SGS,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,4,8,154,29,0,0,0,傳產,自願,0
2016,4,4,9,1,0,臺灣中華化學工業股份有限公司,3558206,化學工業,上市,1727,台灣,桃園,桃園市觀音區樹林里工業五路15號,es1@chciw.com.tw ,03-476-1266 #11240,http://www.chciw.com.tw/index.php/ch/csr/,http://www.chciw.com.tw/index.php/ch/csr/,0,2015 Corporerate Social Responsibility Report企業社會責任報告,企業社會責任報告,企業社會責任委員會,2,82,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,2,N/A,201,47,0,1,0,傳產,強制,0
2016,5,5,9,1,1,友達光電股份有限公司,84149738,光電業,上市,2409,台灣,新竹,新竹市科學園區力行二路一號,CSR@auo.com,-8417,http://auo.com.tw/?sn=31&lang=zh-TW,http://auo.com.tw/?sn=92&lang=zh-TW,0,2015友達光電企業社會責任,企業社會責任報告,企業社會責任委員會,10,137,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,SGS & PricewaterhouseCoopers,Comprehensive（全面）,AA1000 & ISAE 3000,AA 1000第2類型 高度保證等級／有限確信,1,7,43,"26,586","14,776",1,1,0,科技,自願,0
2016,6,6,9,1,1,統一企業股份有限公司,73251209,食品工業,上市,1216,台灣,台南,台南市永康區中正路301號,public@mail.pec.com.tw,-1494,http://www.uni-president.com.tw/CSR/index.html,http://www.uni-president.com.tw/upload/index_n/000044/統一企業2015CSR_all_Ss.pdf,0,統一企業2015年企業社會責任報告書,企業社會責任報告,企劃/市場行銷,5,82,2015.01~2015.12,2014,1,GRI G4,食品加工,PricewaterhouseCoopers,Core(核心）,ISAE 3000,有限確信 Limited,1,1,6,"3,349","1,929",1,1,0,食品,自願,1
2016,7,7,9,1,0,台灣肥料股份有限公司,3795101,化學工業,上市,1722,台灣,台北,台北市南京東路二段88號六樓,CSR@taifer.com.tw ,886-2-2542-2231 #786、787 ,http://www.taifer.com.tw/taifer/tw/企業永續/經營者的話.html,http://www.taifer.com.tw/taifer/tw/企業永續/csr報告書下載.html,http://www.taifer.com.tw/taifer/tw/企業永續/csr互動專區.html,台灣肥料股份有限公司企業社會責任報告,企業社會責任報告,永續發展委員會,2,134,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,SGS,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,1,4,538,133,1,1,0,傳產,強制,0
2016,8,8,9,1,0,元富證券股份有限公司,23357868,金融業,上市,2856,台灣,台北,台北市大安區敦化南路二段97號22樓,tien@masterlink.com.tw,(02)2325-5818,http://www.masterlink.com.tw/about/property/reponsibility.aspx,http://www.masterlink.com.tw/ShareFolders/uploadfile/%E5%85%83%E5%AF%8C%E8%AD%892015%E5%B9%B4%E4%BC%81%E6%A5%AD%E7%A4%BE%E6%9C%83%E8%B2%AC%E4%BB%BB%E5%A0%B1%E5%91%8A%E6%9B%B8_final.pdf,0,元富證券股份有限公司2015企業社會責任報告書,企業社會責任報告,未註明負責單位,3,68,2015.01~2015.12,2015,1,GRI G4,金融財務,無驗證單位,無應用等級,無保證標準,無保證等級,1,2,55,566,"1,177",1,0,0,金融,自願,0
2016,9,9,9,1,1,中宇環保工程股份有限公司,84252401,電機機械,上櫃,1535,台灣,高雄,高雄市前鎮區806民權二路八號八樓,guest@ecotek.com.tw,07-3336138 分機31602,http://www.ecotek.com.tw/cec_csr/index.php,http://www.ecotek.com.tw/cec_csr/index.php?prog=download,https://www.facebook.com/ecotekCSR/,企業社會責任報告書,企業社會責任報告,企業社會責任單位,5,117,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,3,7,"1,134",137,0,0,0,0,自願,0
2016,10,10,9,1,0,華新麗華股份有限公司,35412204,電器電纜,上市,1605,台灣,台北,台北市信義區松智路1號25樓,csr@walsin.com,(02)8726-2211#6399,http://www.walsin.com/walsin/page.do?menuId=690,http://www.walsin.com/walsin/page.do?menuId=699,0,華新麗華企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,104,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,Deloitte,Core(核心）,ISAE 3000,有限確信 Limited,1,5,18,"4,176",722,1,0,0,傳產,強制,0
